Id,Altitude,Slope_Orientation,Slope,Horizontal_Distance_To_Water,Vertical_Distance_To_Water,Horizontal_Distance_To_Roadways,Shadow_Index_9h,Shadow_Index_12h,Shadow_Index_15h,Horizontal_Distance_To_Fire_Points,Canopy_Density,Rainfall_Summer,Rainfall_Winter,Wind_Exposure_Level,Soil_Type,Wilderness_Area,Vegetation_Type
1869,2446,23,8,0,0,443,216,223,144,837,37.9,416.99,472.39,57.17,Type_20,Area_3,Type_6
1881,2508,20,21,0,0,859,201,192,121,1651,71.33,393.88,997.57,5.7,Type_20,Area_3,Type_6
1882,2437,349,12,30,4,997,198,220,161,1455,82.4,353.56,211.28,28.45,Type_20,Area_3,Type_6
1889,2515,323,24,42,15,866,152,208,191,350,73.59,429.84,775.77,28.91,Type_33,Area_3,Type_6
1890,2533,322,29,85,36,828,134,197,196,323,89.51,364.55,282.96,64.4,Type_33,Area_3,Type_6
1895,2475,352,16,0,0,541,191,211,157,847,63.31,237.44,378.28,48.71,Type_20,Area_3,Type_6
1896,2455,121,18,0,0,1154,248,223,96,1556,73.98,440.65,192.83,12.35,Type_4,Area_3,Type_6
1897,2447,2,8,0,0,1095,209,225,154,1537,66.96,245.83,711.99,37.98,Type_20,Area_3,Type_6
1901,2525,337,17,30,9,949,180,213,172,450,63.25,235.64,861.62,59.2,Type_20,Area_3,Type_6
1902,2551,324,27,108,49,891,141,199,192,390,30.31,239.3,989.5,12.04,Type_33,Area_3,Type_6
1903,2597,321,28,192,105,806,136,199,196,361,75.66,290.67,399.81,61.01,Type_33,Area_3,Type_6
1905,2532,44,21,30,8,953,220,189,95,1583,74.74,386.8,1013.99,28.45,Type_20,Area_3,Type_6
1906,2530,307,20,60,12,994,161,224,201,1626,42.15,245.13,357.86,10.01,Type_33,Area_3,Type_6
1907,2598,274,24,210,80,1074,150,238,224,1706,87.48,406.13,1191.67,6.15,Type_33,Area_3,Type_6
1919,2581,308,25,170,76,912,142,215,208,437,53.49,443.2,660.45,40.87,Type_33,Area_3,Type_6
1920,2494,331,12,0,0,626,192,225,172,886,54.76,326.33,811.3,60.46,Type_20,Area_3,Type_6
1928,2503,26,15,30,9,648,212,205,127,875,58.86,424.26,932.21,16.51,Type_20,Area_3,Type_6
1929,2589,308,24,150,71,1116,146,217,207,1598,68.54,307.85,464.72,22.27,Type_33,Area_3,Type_6
1930,2600,302,24,180,82,1132,147,221,211,1615,33.89,191.12,995.99,56.18,Type_33,Area_3,Type_6
1937,2552,11,15,0,0,1075,203,207,139,1492,46.19,290.82,1057.34,58.41,Type_20,Area_3,Type_6
1938,2493,345,28,60,18,1158,155,184,161,1690,79.5,429.88,663.21,54.05,Type_10,Area_3,Type_6
1946,2645,313,17,319,143,895,172,225,192,510,61.04,318.54,524.62,11.78,Type_33,Area_3,Type_6
1947,2651,328,15,339,151,876,184,222,177,511,56.41,313.83,604.09,57.07,Type_33,Area_3,Type_6
1948,2522,54,19,60,22,700,227,195,93,882,38.85,437.34,1112.94,33.59,Type_20,Area_3,Type_6
1956,2611,312,25,182,83,1061,145,213,204,598,85.99,221.0,523.64,14.33,Type_33,Area_3,Type_6
1957,2621,320,25,212,98,1040,148,207,195,589,68.55,193.01,1000.62,43.59,Type_33,Area_3,Type_6
1959,2527,36,16,0,0,765,217,203,117,942,68.17,371.79,418.1,42.48,Type_20,Area_3,Type_6
1976,2641,312,26,210,82,1084,142,211,205,648,86.44,430.1,1078.15,12.42,Type_33,Area_3,Type_6
1977,2694,339,22,420,184,957,166,202,171,633,45.56,374.13,190.38,58.08,Type_33,Area_3,Type_6
1978,2544,39,17,0,0,824,218,199,111,979,55.78,219.4,861.14,60.92,Type_20,Area_3,Type_6
1985,2611,296,28,120,52,1167,130,218,222,702,38.01,173.04,762.49,14.13,Type_33,Area_3,Type_6
1986,2639,306,27,180,80,1126,136,213,212,684,34.84,375.92,647.66,46.18,Type_33,Area_3,Type_6
1987,2671,320,26,270,112,1068,145,205,196,666,73.68,367.96,676.01,22.96,Type_33,Area_3,Type_6
1988,2557,51,20,42,13,849,225,192,93,977,59.79,423.78,347.44,12.66,Type_20,Area_3,Type_6
1996,2633,285,26,153,74,1168,139,229,226,721,69.42,269.51,312.55,25.19,Type_33,Area_3,Type_6
1997,2510,323,21,30,12,1454,163,214,188,1752,87.4,175.04,210.35,61.95,Type_10,Area_3,Type_6
2007,2584,306,20,60,16,1273,162,224,201,792,56.98,194.21,1103.31,18.49,Type_33,Area_3,Type_6
2008,2595,296,24,85,28,1252,144,224,216,780,76.6,247.37,864.53,62.78,Type_33,Area_3,Type_6
2010,2529,319,25,60,31,1438,146,207,196,1758,59.25,392.46,440.53,21.11,Type_10,Area_3,Type_6
2011,2538,318,27,85,37,1410,140,204,199,1782,32.02,381.05,123.53,30.31,Type_10,Area_3,Type_6
2020,2683,296,28,256,124,1158,131,219,222,760,69.83,366.3,798.76,56.69,Type_33,Area_3,Type_6
2021,2726,308,27,342,167,1107,137,212,210,751,87.8,359.95,640.33,50.6,Type_33,Area_3,Type_6
2022,2751,317,22,430,192,1061,155,214,196,752,63.61,437.57,217.75,44.96,Type_33,Area_3,Type_6
2023,2519,318,22,30,11,1505,157,214,194,1692,86.21,328.94,186.95,6.85,Type_13,Area_3,Type_6
2024,2572,320,28,124,-40,1369,137,201,197,1814,33.14,340.89,957.42,19.36,Type_10,Area_3,Type_6
2036,2770,325,24,466,211,1073,154,206,189,785,50.97,250.2,153.51,27.79,Type_33,Area_3,Type_6
2037,2582,30,19,42,14,972,211,196,115,1012,36.85,399.46,820.6,26.04,Type_20,Area_3,Type_6
2048,2637,302,27,150,69,1279,135,215,216,845,72.47,441.57,883.5,6.18,Type_33,Area_3,Type_6
2049,2651,297,32,180,84,1260,115,211,227,837,62.61,399.74,611.06,61.05,Type_33,Area_3,Type_6
2050,2685,299,29,240,126,1224,128,215,221,824,34.9,231.25,1193.36,33.38,Type_33,Area_3,Type_6
2062,2787,323,26,450,228,1140,146,203,192,842,60.75,342.6,101.38,39.28,Type_33,Area_3,Type_6
2063,2596,34,24,30,16,1036,208,180,97,947,78.38,288.46,1107.81,64.47,Type_33,Area_3,Type_6
2064,2616,343,21,60,3,1384,173,204,166,1790,57.55,241.58,851.57,37.13,Type_13,Area_3,Type_6
2066,2622,332,26,108,38,1207,150,196,180,1973,77.18,213.88,725.29,49.83,Type_13,Area_3,Type_6
2078,2654,302,29,153,74,1326,130,213,217,902,57.07,309.91,593.92,20.55,Type_33,Area_3,Type_6
2080,2622,331,24,90,9,1425,155,202,182,1749,76.32,387.15,374.05,62.51,Type_13,Area_3,Type_6
